	doc_id	texts	field_id	can_targets	can_labels	cand_pos	can_tokens	tokens_pos
10	001.json	10.00	background	Negative	total	[0.7984054669703873, 0.5712151394422311]	['room', '<Number/>', 'desc', 'qti', 'price', 'amt', 'privileg', '<Number/>', '<Number/>', '<PAD/>']	[[-0.6252847380410023, -0.09462151394422313], [-0.017084282460136713, -0.0961155378486056], [-0.6412300683371299, -0.045318725099601664], [-0.3485193621867882, -0.044820717131474175], [-0.19817767653758545, -0.04731075697211162], [-0.02505694760820054, -0.04780876494023911], [-0.458997722095672, -0.022410358565737143], [-0.3211845102505695, 0.0029880478087649376], [-0.19248291571753995, 0.003984063745019917], [-1, -1]]
11	001.json	55.90	background	Negative	total	[0.5979498861047836, 0.6195219123505976]	['desc', 'qti', 'price', 'privileg', '<Number/>', '<Number/>', '<Number/>', 'tabl', '<Number/>', '<PAD/>']	[[-0.4407744874715262, -0.09362549800796816], [-0.14806378132118453, -0.09312749003984067], [0.002277904328018221, -0.09561752988047811], [-0.25854214123006836, -0.07071713147410363], [-0.48519362186788156, -0.043824701195219085], [-0.12072892938496582, -0.04531872509960155], [0.007972665148063718, -0.044322709163346574], [-0.28018223234624146, -0.019920318725099584], [-0.12186788154897493, 0.003486055776892427], [-1, -1]]
12	001.json	55.90	background	Negative	total	[0.7835990888382688, 0.6210159362549801]	['amt', 'privileg', '<Number/>', '<Number/>', '<Number/>', '<Number/>', 'tabl', '<Number/>', '<Number/>', '<Number/>']	[[-0.01025056947608205, -0.09760956175298807], [-0.44419134396355353, -0.0722111553784861], [-0.6708428246013667, -0.04531872509960155], [-0.306378132118451, -0.04681274900398402], [-0.17767653758542146, -0.04581673306772904], [0.014806378132118492, -0.04980079681274896], [-0.46583143507972663, -0.021414342629482053], [-0.6674259681093394, 0.002490039840637448], [-0.3075170842824601, 0.0019920318725099584], [-0.18564920273348517, -0.0014940239043824688]]
13	001.json	10.00%	background	Negative	total	[0.5535307517084282, 0.6489043824701195]	['privileg', '<Number/>', '<Number/>', 'tabl', '<Number/>', '<Number/>', 'disc', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.214123006833713, -0.10009960159362552], [-0.4407744874715262, -0.07320717131474097], [-0.07630979498861046, -0.07470119521912344], [-0.2357630979498861, -0.04930278884462147], [-0.43735763097949887, -0.02539840637450197], [-0.07744874715261957, -0.02589641434262946], [-0.16514806378132119, -0.0009960159362549792], [-1, -1], [-1, -1], [-1, -1]]
14	001.json	60.31	background	Negative	total	[0.7972665148063781, 0.6982071713147411]	['<Number/>', '<Number/>', '<Number/>', '<Number/>', 'disc', '<PAD/>', '<PAD/>', 'total', '<Number/>', 'total']	[[-0.6810933940774487, -0.07470119521912355], [-0.32118451025056943, -0.07519920318725104], [-0.1993166287015945, -0.07868525896414347], [-0.013667425968109326, -0.077191235059761], [-0.40888382687927105, -0.05029880478087656], [-1, -1], [-1, -1], [-0.6298405466970387, -0.021414342629482164], [-0.40774487471526194, -0.02589641434262957], [-0.44874715261959, 0.0014940239043824688]]
15	001.json	60.30	total	Positive	total	[0.7961275626423691, 0.773406374501992]	['total', '<Number/>', 'total', '<Number/>', 'round', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.6287015945330297, -0.09661354581673309], [-0.4066059225512529, -0.1010956175298805], [-0.4476082004555809, -0.07370517928286846], [0.001138952164009055, -0.07519920318725093], [-0.4783599088838269, -0.04830677290836649], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
16	001.json	70.30	background	Negative	total	[0.7961275626423691, 0.7973107569721115]	['total', 'round', '<PAD/>', '<PAD/>', '<Number/>', 'cash', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.4476082004555809, -0.09760956175298796], [-0.4783599088838269, -0.07221115537848599], [-1, -1], [-1, -1], [0.0, -0.0239043824701195], [-0.4476082004555809, 0.0004980079681274896], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
17	001.json	10.00	background	Negative	total	[0.8006833712984055, 0.8207171314741036]	['round', '<PAD/>', '<PAD/>', '<Number/>', 'cash', '<Number/>', 'chang', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.48291571753986334, -0.09561752988047811], [-1, -1], [-1, -1], [-0.004555808656036442, -0.04731075697211162], [-0.45216400911161736, -0.022908366533864633], [-0.004555808656036442, -0.023406374501992122], [-0.45330296127562647, 0.0009960159362549792], [-1, -1], [-1, -1], [-1, -1]]
18	002.json	LOT 1851-A & 1851-B, JALAN KPB 6,	address	Negative	date	[0.4793028322440087, 0.22550052687038988]	['dti', 'coreg', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[0.005446623093681935, -0.04425711275026342], [0.018518518518518545, -0.02054794520547945], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
19	002.json	CHOPPING BOARD 35.5X25.5CM 803M#	background	Negative	date	[0.40522875816993464, 0.3577449947312961]	['seri', 'diy', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[0.08932461873638342, -0.08587987355110643], [0.08169934640522875, -0.06427818756585879], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
20	002.json	EZ10HD05 - 24	background	Negative	date	[0.1895424836601307, 0.37987355110642784]	['<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
21	002.json	19.00	background	Negative	total	[0.6895424836601307, 0.40516332982086406]	['invoic', 'chop', '<PAD/>', '<Number/>', '<Number/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.20588235294117646, -0.09009483667017915], [-0.28431372549019607, -0.04741833508956794], [-1, -1], [-0.5642701525054467, -0.0026343519494204104], [-0.13616557734204793, -0.0015806111696522462], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
22	002.json	19.00	background	Negative	total	[0.8387799564270153, 0.4062170706006322]	['invoic', 'chop', '<PAD/>', '<Number/>', '<Number/>', '<PAD/>', '<Number/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.35511982570806105, -0.09114857744994731], [-0.43355119825708066, -0.048472075869336106], [-1, -1], [-0.7135076252723312, -0.0036880927291885746], [-0.2854030501089325, -0.0026343519494204104], [-1, -1], [-0.1492374727668846, -0.0010537407797681642], [-1, -1], [-1, -1], [-1, -1]]
23	002.json	HC03-7 - 15	background	Negative	date	[0.16666666666666666, 0.4473129610115911]	['<PAD/>', '<Number/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-1, -1], [-0.04139433551198257, -0.044783983140147476], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
24	002.json	8.02	background	Negative	total	[0.696078431372549, 0.4731296101159115]	['<PAD/>', '<Number/>', '<Number/>', '<PAD/>', '<Number/>', 'air', '<PAD/>', '<Number/>', '<Number/>', '<PAD/>']	[[-1, -1], [-0.5708061002178649, -0.07060063224446783], [-0.1427015250544662, -0.06954689146469967], [-1, -1], [-0.006535947712418277, -0.06796628029504742], [-0.275599128540305, -0.045837723919915696], [-1, -1], [-0.579520697167756, -0.003161222339304548], [-0.14814814814814814, -0.0010537407797681642], [-1, -1]]
25	002.json	8.02	background	Negative	total	[0.8464052287581699, 0.4720758693361433]	['<Number/>', '<PAD/>', '<Number/>', '<Number/>', 'air', '<PAD/>', '<Number/>', '<Number/>', '<PAD/>', '<Number/>']	[[-0.29302832244008714, -0.0684931506849315], [-1, -1], [-0.1568627450980392, -0.06691253951527926], [-0.00762527233115462, -0.06585879873551109], [-0.42592592592592593, -0.04478398314014753], [-1, -1], [-0.7298474945533769, -0.002107481559536384], [-0.2984749455337691, 0.0], [-1, -1], [-0.15032679738562094, 0.0010537407797681642]]
26	002.json	WA14-3A - 48	background	Negative	date	[0.17538126361655773, 0.5131717597471022]	['<PAD/>', '<Number/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-1, -1], [-0.058823529411764705, -0.04320337197049523], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
27	002.json	3.02	background	Negative	total	[0.6949891067538126, 0.5400421496311907]	['<PAD/>', '<Number/>', '<Number/>', '<PAD/>', '<Number/>', 'waxco', '<PAD/>', '<Number/>', '<Number/>', '<PAD/>']	[[-1, -1], [-0.5784313725490197, -0.07007376185458375], [-0.1470588235294118, -0.06796628029504737], [-1, -1], [0.0010893246187363426, -0.0669125395152792], [-0.3148148148148148, -0.04689146469968386], [-1, -1], [-0.5021786492374728, -0.0015806111696522462], [-0.14596949891067534, -0.0026343519494204104], [-1, -1]]
28	002.json	3.02	background	Negative	total	[0.8496732026143791, 0.5400421496311907]	['<Number/>', '<PAD/>', '<Number/>', '<Number/>', 'waxco', '<PAD/>', '<Number/>', '<Number/>', '<PAD/>', '<Number/>']	[[-0.3017429193899782, -0.06796628029504737], [-1, -1], [-0.15359477124183007, -0.0669125395152792], [-0.0032679738562091387, -0.06796628029504737], [-0.46949891067538124, -0.04689146469968386], [-1, -1], [-0.6568627450980392, -0.0015806111696522462], [-0.30065359477124176, -0.0026343519494204104], [-1, -1], [-0.15468409586056642, 0.0]]
29	002.json	3.88	background	Negative	total	[0.6928104575163399, 0.6059009483667018]	['<PAD/>', '<Number/>', '<Number/>', '<PAD/>', '<Number/>', 'bopp', '<PAD/>', '<Number/>', '<Number/>', '<PAD/>']	[[-1, -1], [-0.5, -0.0674394099051634], [-0.14379084967320255, -0.06849315068493156], [-1, -1], [0.002178649237472796, -0.06585879873551115], [-0.37254901960784315, -0.04741833508956805], [-1, -1], [-0.5032679738562091, -0.0021074815595364393], [-0.1470588235294118, -0.0031612223393046035], [-1, -1]]
30	002.json	3.88	background	Negative	total	[0.8616557734204793, 0.6053740779768177]	['<Number/>', '<PAD/>', '<Number/>', '<Number/>', 'bopp', '<PAD/>', '<Number/>', '<Number/>', '<PAD/>', '<Number/>']	[[-0.312636165577342, -0.06796628029504748], [-1, -1], [-0.16666666666666663, -0.06533192834562707], [-0.011982570806100212, -0.06533192834562707], [-0.5413943355119826, -0.04689146469968397], [-1, -1], [-0.6721132897603486, -0.0015806111696523573], [-0.3159041394335512, -0.0026343519494205214], [-1, -1], [-0.16884531590413943, 0.0005268703898840821]]
31	002.json	RM 33.92	background	Negative	total	[0.8485838779956427, 0.6944151738672286]	['<Number/>', '<Number/>', '<PAD/>', '<Number/>', '<Number/>', 'item', 'qti', 'total', '<PAD/>', '<PAD/>']	[[-0.659041394335512, -0.09062170706006323], [-0.30283224400871467, -0.09167544783983139], [-1, -1], [-0.15577342047930287, -0.08851422550052679], [0.013071895424836555, -0.08904109589041087], [-0.6819172113289761, -0.04741833508956794], [-0.020697167755991286, -0.04373024236037926], [-0.74400871459695, -0.005268703898840821], [-1, -1], [-1, -1]]
32	002.json	-RM 0.02	background	Negative	total	[0.8507625272331155, 0.7144362486828241]	['item', 'qti', 'total', '<PAD/>', 'round', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.6840958605664489, -0.0674394099051634], [-0.022875816993464082, -0.06375131717597471], [-0.7461873638344227, -0.025289778714436273], [-1, -1], [-0.5980392156862746, -0.0005268703898840821], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
33	002.json	RM 33.90	background	Negative	total	[0.8474945533769063, 0.7376185458377239]	['item', 'qti', 'total', '<PAD/>', 'round', '<PAD/>', 'total', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.6808278867102396, -0.09062170706006323], [-0.019607843137254832, -0.08693361433087454], [-0.7429193899782135, -0.048472075869336106], [-1, -1], [-0.5947712418300652, -0.023709167544783916], [-1, -1], [-0.6612200435729847, -0.0005268703898840821], [-1, -1], [-1, -1], [-1, -1]]
34	002.json	RM 50.00	background	Negative	total	[0.8474945533769063, 0.7586933614330874]	['total', '<PAD/>', 'round', '<PAD/>', 'total', '<PAD/>', 'cash', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.7429193899782135, -0.06954689146469961], [-1, -1], [-0.5947712418300652, -0.04478398314014742], [-1, -1], [-0.6612200435729847, -0.021601685985247587], [-1, -1], [-0.7625272331154683, -0.0010537407797681642], [-1, -1], [-1, -1], [-1, -1]]
35	002.json	RM 16.10	background	Negative	total	[0.8507625272331155, 0.7829293993677555]	['total', '<PAD/>', 'round', '<PAD/>', 'total', '<PAD/>', 'cash', '<PAD/>', 'chang', '<PAD/>']	[[-0.7461873638344227, -0.09378292939936772], [-1, -1], [-0.5980392156862746, -0.06902002107481553], [-1, -1], [-0.664488017429194, -0.045837723919915696], [-1, -1], [-0.7657952069716776, -0.025289778714436273], [-1, -1], [-0.7418300653594772, -0.0010537407797681642], [-1, -1]]
36	002.json	12-01-19 21:13 SH01 ZK09	date	Positive	date	[0.31699346405228757, 0.8240252897787145]	['total', 'cash', 'chang', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.130718954248366, -0.08693361433087465], [-0.23202614379084965, -0.06638566912539523], [-0.2080610021786492, -0.04214963119072712], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
37	004.json	LOT 1851-A & 1851-B, JALAN KPB 6,	address	Negative	date	[0.47300215982721383, 0.2149122807017544]	['diy', 'rfg', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[0.0010799136069114534, -0.038499025341130616], [0.009719222462203025, -0.018518518518518517], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
38	004.json	WA45 /2A - 12	background	Negative	date	[0.19438444924406048, 0.36208576998050684]	['<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
39	004.json	3.11	background	Negative	total	[0.6987041036717062, 0.3830409356725146]	['tesco', 'invoic', 'kilat', '<PAD/>', '<Number/>', '<Number/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.22030237580993517, -0.10428849902534115], [-0.22030237580993517, -0.08479532163742692], [-0.2516198704103671, -0.042397660818713434], [-1, -1], [-0.5129589632829373, -0.0009746588693957392], [-0.1533477321814254, -0.001949317738791423], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
40	004.json	3.11	background	Negative	total	[0.8531317494600432, 0.3845029239766082]	['invoic', 'kilat', '<PAD/>', '<Number/>', '<Number/>', '<PAD/>', '<Number/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.3747300215982722, -0.08625730994152048], [-0.4060475161987041, -0.04385964912280699], [-1, -1], [-0.6673866090712743, -0.0024366471734892925], [-0.3077753779697624, -0.003411306042884976], [-1, -1], [-0.154427645788337, -0.0014619883040935533], [-1, -1], [-1, -1], [-1, -1]]
41	004.json	KILAT' ECO AUTO WASH &WAX EW-1000-1L	background	Negative	date	[0.44168466522678185, 0.40253411306042886]	['kilat', '<PAD/>', '<Number/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[0.005399568034557267, -0.06189083820662766], [-1, -1], [-0.25593952483801297, -0.020467836257309968], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
42	004.json	4.62	background	Negative	total	[0.6987041036717062, 0.44785575048732945]	['<PAD/>', '<Number/>', '<Number/>', '<PAD/>', '<Number/>', 'kilat', '<PAD/>', '<Number/>', '<Number/>', '<PAD/>']	[[-1, -1], [-0.5129589632829373, -0.06578947368421056], [-0.1533477321814254, -0.06676413255360625], [-1, -1], [0.0, -0.06481481481481483], [-0.25701943844492436, -0.045321637426900596], [-1, -1], [-0.5010799136069114, -0.001949317738791423], [-0.1555075593952483, -0.003898635477582846], [-1, -1]]
43	004.json	4.62	background	Negative	total	[0.8488120950323974, 0.44541910331384016]	['<Number/>', '<PAD/>', '<Number/>', '<Number/>', 'kilat', '<PAD/>', '<Number/>', '<Number/>', '<PAD/>', '<Number/>']	[[-0.3034557235421166, -0.06432748538011696], [-1, -1], [-0.1501079913606912, -0.06237816764132553], [0.004319654427645814, -0.06091617933723198], [-0.40712742980561556, -0.042884990253411304], [-1, -1], [-0.6511879049676026, 0.0004873294346978696], [-0.3056155507559395, -0.0014619883040935533], [-1, -1], [-0.1501079913606912, 0.0024366471734892925]]
44	004.json	11.23	background	Negative	total	[0.6825053995680346, 0.5073099415204678]	['<PAD/>', '<Number/>', '<Number/>', '<PAD/>', '<Number/>', 'moo', '<PAD/>', '<Number/>', '<Number/>', '<PAD/>']	[[-1, -1], [-0.48488120950323976, -0.06140350877192979], [-0.13930885529157666, -0.06335282651072122], [-1, -1], [0.016198704103671635, -0.05945419103313837], [-0.42764578833693306, -0.04142300194931775], [-1, -1], [-0.4978401727861771, 0.0], [-0.13822894168466526, -0.0019493177387913674], [-1, -1]]
45	004.json	11.23	background	Negative	total	[0.8401727861771058, 0.50682261208577]	['<Number/>', '<PAD/>', '<Number/>', '<Number/>', 'moo', '<PAD/>', '<Number/>', '<Number/>', '<PAD/>', '<Number/>']	[[-0.29697624190064786, -0.06286549707602335], [-1, -1], [-0.14146868250539957, -0.0589668615984405], [0.008639308855291628, -0.06140350877192979], [-0.5853131749460043, -0.04093567251461988], [-1, -1], [-0.6555075593952483, 0.0004873294346978696], [-0.29589632829373647, -0.0014619883040934978], [-1, -1], [-0.1576673866090712, 0.0004873294346978696]]
46	004.json	7.45	background	Negative	total	[0.6922246220302376, 0.5682261208576999]	['<PAD/>', '<Number/>', '<Number/>', '<PAD/>', '<Number/>', 'kleenso', 'wdoo', '<Number/>', '<Number/>', '<PAD/>']	[[-1, -1], [-0.5075593952483801, -0.060916179337232035], [-0.1479481641468683, -0.0628654970760234], [-1, -1], [-0.009719222462203025, -0.060916179337232035], [-0.2807775377969763, -0.0399610136452242], [-0.5431965442764579, -0.0199805068226121], [-0.5053995680345573, 0.0019493177387913674], [-0.14470842332613398, 0.0], [-1, -1]]
47	004.json	7.45	background	Negative	total	[0.8542116630669546, 0.5716374269005848]	['<Number/>', '<PAD/>', '<Number/>', '<Number/>', 'kleenso', 'wdoo', '<Number/>', '<Number/>', '<PAD/>', '<Number/>']	[[-0.3099352051835853, -0.06627680311890838], [-1, -1], [-0.17170626349892004, -0.06432748538011701], [-0.01403887688984884, -0.06481481481481488], [-0.4427645788336933, -0.04337231968810917], [-0.7051835853131749, -0.023391812865497075], [-0.6673866090712743, -0.0014619883040936088], [-0.306695464362851, -0.003411306042884976], [-1, -1], [-0.16198704103671702, -0.003411306042884976]]
48	004.json	PI12PJ11-4 - 6/300	background	Negative	date	[0.24622030237580994, 0.6111111111111112]	['wdoo', '<Number/>', 'handkerchief', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.09719222462203025, -0.0628654970760234], [-0.059395248380129606, -0.040935672514619936], [0.0572354211663067, -0.022417153996101447], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1], [-1, -1]]
49	004.json	4.50	background	Negative	total	[0.6900647948164147, 0.6320662768031189]	['wdoo', '<Number/>', '<Number/>', '<PAD/>', '<Number/>', 'handkerchief', '<PAD/>', '<Number/>', '<Number/>', '<PAD/>']	[[-0.541036717062635, -0.08382066276803113], [-0.5032397408207343, -0.06189083820662766], [-0.14254859611231108, -0.06384015594541903], [-1, -1], [0.002159827213822907, -0.06384015594541903], [-0.38660907127429806, -0.04337231968810917], [-1, -1], [-0.5647948164146869, 0.0009746588693957392], [-0.14470842332613387, -0.0009746588693957392], [-1, -1]]
50	004.json	4.50	background	Negative	total	[0.8542116630669546, 0.631578947368421]	['<Number/>', '<PAD/>', '<Number/>', '<Number/>', 'handkerchief', '<PAD/>', '<Number/>', '<Number/>', '<PAD/>', '<Number/>']	[[-0.306695464362851, -0.06335282651072116], [-1, -1], [-0.16198704103671702, -0.06335282651072116], [0.0, -0.059941520467836185], [-0.550755939524838, -0.042884990253411304], [-1, -1], [-0.7289416846652268, 0.0014619883040936088], [-0.3088552915766738, -0.0004873294346978696], [-1, -1], [-0.16414686825053992, 0.0004873294346978696]]
51	004.json	RM 30.91	background	Negative	total	[0.847732181425486, 0.7110136452241715]	['<PAD/>', '<Number/>', '<Number/>', '<PAD/>', '<Number/>', '<Number/>', 'item', 'qti', 'total', '<PAD/>']	[[-1, -1], [-0.7224622030237582, -0.07797270955165692], [-0.3023758099352052, -0.0799220272904484], [-1, -1], [-0.1576673866090713, -0.07894736842105265], [0.00647948164146861, -0.07943469785575052], [-0.6825053995680346, -0.03703703703703709], [-0.017278617710583255, -0.03557504873294348], [-0.7494600431965444, 0.0], [-1, -1]]
52	004.json	RM 0.01	background	Negative	total	[0.8531317494600432, 0.7319688109161794]	['<Number/>', '<Number/>', '<PAD/>', '<Number/>', 'item', 'qti', 'total', '<PAD/>', 'round', '<PAD/>']	[[-0.7278617710583154, -0.09892787524366475], [-0.3077753779697624, -0.10087719298245623], [-1, -1], [-0.16306695464362853, -0.09990253411306049], [-0.6879049676025918, -0.05799220272904493], [-0.022678185745140467, -0.05653021442495132], [-0.7548596112311016, -0.020955165692007838], [-1, -1], [-0.6015118790496761, 0.0004873294346977586], [-1, -1]]
53	004.json	RM 30.90	background	Negative	total	[0.8423326133909287, 0.753411306042885]	['item', 'qti', 'total', '<PAD/>', 'round', '<PAD/>', 'total', '<PAD/>', '<PAD/>', '<PAD/>']	[[-0.6771058315334773, -0.07943469785575052], [-0.011879049676025932, -0.07797270955165692], [-0.744060475161987, -0.042397660818713434], [-1, -1], [-0.5907127429805615, -0.020955165692007838], [-1, -1], [-0.6511879049676026, 0.0004873294346978696], [-1, -1], [-1, -1], [-1, -1]]
